category,fsq_id,name,latitude,longitude,address,PC6
Café,50216e1964a44a8a225927b6,Grand Café,52.038549,4.240766,De Uithof,2544NL
Dumpling Restaurant,58ebe81126a953247d92e5ce,Sampras 5 Vip,52.038706,4.246622,Lozeran,2544NL
Fast Food Restaurant,4c28be9cd26eb7135d4e14d1,McDonald's,52.043068,4.242198,De Werf 68,2544EK
Lounge,4c61837ffa7bc92876dc0b27,Zalencentrum Zichtenburg,52.046459,4.251558,,2544EK
American Restaurant,59270867f427de36016bd1c1,Barn47,52.028003,4.253745,Poeldijkseweg 47,2544NS
American Restaurant,b1aaf421effd4899fda3d815,De Pannenkoekensaloon,52.028337,4.253973,Poeldijkseweg 47,2544NS
Bakery,4e5a3168814db47c302f2e21,Berestein Bakkerij,52.040287,4.255781,Beresteinlaan 297,2542JH
Tea Room,5fa7ea0289b240e91150e51c,Oriental Teagarden,52.040287,4.255781,Beresteinlaan 287,2542JH
Bar,5144faa7e4b0c0b7ee7a6261,Bar la Luna,52.042327,4.251086,,2544SL
Cafeteria,4e2575b118a817bf056ad983,'t Lozertje,52.03971,4.245037,Jaap Edenweg,2544LD
Bakery,4edf4fcf9adf1692b4a09255,Banket bakkerij Bouwlust,52.047051,4.255571,,2544XT
Bakery,4dbd77c193a08f9274d5ad76,'t Hoekje,52.048675,4.249505,Zusterstraat 110,2544EB
Fast Food Restaurant,4d37d91d3d958cfade00ad71,Hoka,52.047951,4.256752,Zilverstraat 120,2544XR
Sandwich Restaurant,58d3af4b9ab663466a203b5d,Phia's Smulparadijs,52.044725,4.255941,Bouwlustlaan 111,2544JN
Restaurant,bcffe69dbb21479cc5abca88,A & S Company VOF,52.044934,4.255649,Bouwlustlaan 41,2544JN
Restaurant,a06e648fc6eb4027f5ee3f54,KinderResto Den Haag Bouwlust,52.044303,4.258262,Eekhoornrade 215,2544VS
Café,4d7a3d3b18db6ea817f45e53,Vrijmibo,52.051181,4.255826,Platinaweg 10,2544CV
Café,4bf28abd2f53b7131426eb43,brasserie de Oehoe,52.052636,4.258647,Kerketuinenweg 3,2544CV
Restaurant,4bf28abd2f53b7131426eb43,brasserie de Oehoe,52.052636,4.258647,Kerketuinenweg 3,2544CV
Pizzeria,5aea47ce79f6c7002c458c7f,Pizza,52.032976,4.264707,,2542LN
Ice Cream Parlor,5aecb9ab628c83002c889502,Dondurma,52.032913,4.264694,,2542LN
Doner Restaurant,5aea4745840fc2002c8ab6f7,Doner,52.033268,4.265145,,2542LM
Donut Shop,5aeb693925ecca002c52cfe8,Donut,52.033076,4.263644,,2542LC
Bakery,5ae8c1abd552c7002c20e256,Bakkerij Dilay,52.034841,4.264762,,2542KD
Food Court,599e846e04d1ae28af0bb99b,Meric Lunchroom,52.035353,4.266243,,2542EX
Bar,4db4188f6a23c31a030ffe5e,Berestein Koffiehuis,52.033235,4.26758,Beresteinlaan 204,2542KG
Café,4db4188f6a23c31a030ffe5e,Berestein Koffiehuis,52.033235,4.26758,Beresteinlaan 204,2542KG
Coffee Shop,4db4188f6a23c31a030ffe5e,Berestein Koffiehuis,52.033235,4.26758,Beresteinlaan 204,2542KG
Restaurant,49098bc62c6d433194ab48bb,Mediterraan Vispaleis,52.034867,4.26565,Ambachtsgaarde 152,2542EJ
Restaurant,efbfd5789b3343a4996a5945,Oosten Restaurant Het,52.035379,4.26713,Ambachtsgaarde 18,2542EE
Café,ca275206c9b6474398e6f9f8,Eshana's Café,52.033916,4.261087,Gravinnendreef 53,2542WZ
