category,fsq_id,name,latitude,longitude,address,PC6
Auction House,2fc06d5effb14f7d92e9a46e,Veiling Bloemen Online,52.0392,4.235123,,2544NG
Retail,528f3d9611d2905981d9b22f,070 Outlet Store,52.038549,4.240766,,2544NL
Sporting Goods Retail,4f2534e2e4b0d10db1404938,Ooms Sport De Uithof,52.03837,4.239861,Jaap Edenweg 10,2544NL
Retail,100ca3592b5d44c583347c72,Ooms Retail Groep B.V.,52.038812,4.241207,Jaap Edenweg 10,2544NL
Retail,b7036ffa23ed4887810c9085,Damara Kids,52.029745,4.245542,Abdis Eustachiastraat 15,2544NH
Grocery Store / Supermarket,9229d3a1741d4d2d8d4d8c6a,VIA Foodstore Verkoopkantoor,52.043163,4.243567,De Werf 15,2544EH
Hardware Store,4ddf9ca3d164da4f23311582,Bouwmaat De Werf,52.045325,4.248174,De werf,2544EH
Car Dealership,38aba6b75cc840cc4cf047b9,Black Bull Bedrijfsvoertuigen B.V.,52.045768,4.248825,De Werf 9,2544EH
Hardware Store,3fa2d85527574b8a08654d37,Bouwmaat in Den Haag,52.045269,4.248136,De Werf 9,2544EH
Retail,208c41fd22a5473e08bf5381,Star-Win Lighting And Building B.V.,52.044949,4.248005,De Werf 11,2544EH
Retail,3cc0563a2f474c722a1f56b5,BenSE-groep B.V.,52.045802,4.245891,Koperwerf 28,2544EC
Retail,e5196fd78d2741ecf1bffdf3,Glashandel Blom B.V.,52.045039,4.244761,Zinkwerf 55,2544EC
Home Appliance Store,03cbf623b38e458e8cff353e,Somarya,52.039657,4.250307,Randveen 60/U,2544RZ
Clothing Store,4cda9f2e9ff74e282f684b96,Sleep Time,52.040786,4.249772,Rietveen 4,2544RT
Bicycle Store,c1f9574bdcb541220b2da19e,Global Classics,52.040998,4.248091,Meppelweg 1468,2544CT
Automotive Retail,4f9bc62fe4b065054bc0179a,Olsthoorn bedrijfsvoertuigen. Mitsubishi Fuso TRUCKS,52.046202,4.247642,"Zichtenburg, Zinkwerf 14, 2544 Escamp",2544EE
Retail,3cf091a79dfc4b1221a022b7,VBT Groep BV,52.045599,4.250101,IJzerwerf 20,2544ES
Hardware Store,8721a4453e6f472edbde34e6,Mastermate,52.045557,4.250159,IJzerwerf 22,2544ES
Retail,abbe4886fdf84020be71ebc5,Procom Vijf BV,52.045375,4.250644,IJzerwerf 26,2544ES
Retail,ed4b4df13ef84a21a1f9db50,Houten Enveloppenkist,52.045347,4.250799,Merellaan 134,2544ES
Gift Store,eaf26a6fd31e406d1262874a,Koffertje&co,52.045292,4.250761,IJzerwerf 30,2544ES
Retail,cbfc88292c0546519ae103c8,Back Quality Europe (B.Q.E.) B.V.,52.044789,4.251809,IJzerwerf 46,2544ES
Car Dealership,33b2b23ae366405842bd8d9d,Lowland Cars,52.045974,4.250618,De Werf 10,2544EK
Print Store,359c84adc9a24a8e11716a1c,Just Inkt,52.045304,4.251552,IJzerwerf 38,2544EM
Office Supply Store,c78c00d1e4e54ed2ed68d66f,1NKT.nl,52.04504,4.251459,IJzerwerf 38,2544EM
Grocery Store / Supermarket,4cd3f3a9ecc3a09389fe9c93,Sligro Den Haag Zichtenburglaan,52.047797,4.250036,Zichtenburglaan 1,2544EA
Hardware Store,4f0418ff8b81d71b4c2bf5ce,Wilbrink Molenaar verf techniek,52.046905,4.250819,,2544EA
Print Store,dc970b0d33b84f6ba5f04972,Drukkerij Jobbe B.V.,52.047449,4.250407,Aartsdijkweg 95 Maasdijk Zuid-Holland,2544EA
Retail,0c24d4221992459b3e34b876,B.V. Ru'58,52.047226,4.250603,Zichtenburglaan 15,2544EA
Retail,c29e5d5952764d4c7f46f0cb,Simonis Verf BV,52.047086,4.251029,Zichtenburglaan 21,2544EA
Print Store,6baf206308e04bb03cad6aac,Het Haags Printhuis,52.046067,4.252682,Zichtenburglaan 31,2544EA
