category,fsq_id,name,latitude,longitude,address,PC6
High School,4d8d485e5091a1cd1a257501,Blokpoelschool,52.039236,4.259326,Haardstede 5,2543VS
Elementary School,f7f222c20fdd43b895f6917f,De Haagse Scholen,52.039445,4.259034,Haardstede 1,2543VS
Elementary School,55f6672e498e0e311e3147a1,Snelway Rijopleidingen,52.035027,4.268891,Muldersgaarde 48,2542HK
Law School,4f38b56ae4b0cc4ce4cfb3ce,Hofstede Praktijkschool,52.038991,4.269598,Droogscheerdersgaarde 70,2542BK
College Academic Building,4d2363da16cfb60cce517161,Nutsschool Woonstede,52.038454,4.270905,Woonstede 69,2542CB
Elementary School,5650e23a5aff44a2f7ea8c9c,De Haagse Scholen,52.040379,4.251148,Laagveen 22,2544RZ
Elementary School,97fced1f0718427275b3a8ea,De Haagse Scholen,52.040734,4.254695,Beresteinlaan 267,2542JG
Elementary School,2f232cb92bbd4c734e2571e6,Haagse Nutsscholen Algemene Directie,52.039234,4.260021,Woonstede 96,2543VR
Elementary School,125b16cd04b34e7068284271,Petrus Dondersschool,52.035412,4.264543,Ambachtsgaarde 5,2542KD
Elementary School,415014f6a3734ee1098a936b,De Haagse Scholen,52.035953,4.265522,Ambachtsgaarde 1,2542ED
Elementary School,4f02e3a015254dbee2129e21,Anemaschool Prof mr A,52.041215,4.264418,Eindstede 2,2543SL
Elementary School,515112fbf0f843f7360b427f,De Haagse Scholen,52.041148,4.269592,Melis Stokelaan 1185,2541GA
Medical School,4f0aef120039c4c8db88e4b6,EHBO Koninklijke Nederlandse Vereniging,52.053515,4.257073,Dedemsvaartweg 1,2545AP
Medical School,55681d1e498e203b55de7cc8,Haga Ziekenhuis Leyweg : Oncologie,52.055396,4.263387,,2545AB
High School,4e5bb32a814db47c3030601f,"ROC Mondriaan Techniek, Tinwerf, Den Haag",52.043958,4.249503,Tinwerf 10,2544ED
Elementary School,4dc8d9851838e695fbdbf1a3,Zuidwester Rooms Katholieke Basisschool De,52.045347,4.257845,Marterrade 312,2544ME
Medical School,4f880148e4b057e27f23a685,HagaAcademie,52.056631,4.264161,,2545AA
College Classroom,4d9f47ea8ef3a1435ef48f10,ROC Mondriaan (ZUI),52.050114,4.267017,Zuidlarenstraat 6 -10,2545VK
High School,4d2b0ce3ebacb1f7ad9f0850,Het Haagsch Vakcollege,52.053221,4.268591,Meppelweg 339,2544AH
Trade School,4cef9f9728abb60cba7ac309,Bhv Zuid Holland,52.043568,4.242887,Zinkwerf 85,2544EC
Elementary School,592c12506a595012a64e4d71,Nutsschool Morgenstond,52.049399,4.269747,Zweeloostraat 61,2545VC
Elementary School,4cf8ba5bf61542cfc8cb02ed,Haagse Nutsscholen Algemene Directie,52.049357,4.269806,Zweeloostraat 61,2545VC
Elementary School,4dd39815d1643acaa1e42ce2,De Ark,52.056672,4.27115,Maarsbergenstraat 169/C,2546SP
College Academic Building,4fd059a9e4b0f962e385f1c7,OBS de Drentse Hoek,52.046975,4.27105,,2545SW
Elementary School,e4dc347689d742af8439aa05,De Haagse Scholen,52.057262,4.268594,Baambruggestraat 2,2546SK
Elementary School,d30ba1050a2a40d311711b60,Drentse Hoek Openbare Basisschool De,52.046488,4.271152,Norgstraat 12,2545TV
Elementary School,c9dbf4d9b89b4b7d22392a39,De Haagse Scholen,52.046807,4.271631,Oosterhesselenstraat 586,2545SL
Trade School,52876027498e87aa6781dd88,Zaterdagschool,52.051925,4.29175,Roemer Visscherstraat 106,2533SG
Elementary School,4df760dcae60f0da88390edd,Boschschool Ds D A vd,52.052423,4.304451,Erasmusweg 68,2532CR
Elementary School,51874f68498ef49c92e3827f,Oosterleeschool P,52.048221,4.292873,Pieter Langendijkstraat 81,2533JJ
Trade School,4da82c9e43a12d0c264a0a45,SG Den Haag Zuid-West Locatie De Haagse,52.057434,4.298041,Beatrijsstraat 12,2531AG
Elementary School,4b8ea40cf964a520d12d33e3,Kleine Wereld Basisschool De,52.055391,4.302738,Rederijkerstraat 120,2531VE
Elementary School,fb14e9045b99451a42324e77,De Haagse Scholen,52.055502,4.302814,Rederijkerstraat 120,2531VE
Law School,4d7f7e85b25d6dcb2e39ce42,2samen Waterlelies,52.048414,4.30519,Ulenpasstraat,2531HP
Elementary School,551931b5498eafeae3d016a2,Tamarschool,52.044054,4.283324,,2541RL
Elementary School,d30b873af6514c91980475a2,De Haagse Scholen,52.045468,4.285856,Steenwijklaan 10,2541RL
Elementary School,4e492492a809fb2fa40d6fbc,Krullevaar Basisschool De,52.046631,4.275687,Tinaarlostraat 78,2545RD
High School,0c733ab342fc47843d6b8673,Roemer Visscher College,52.051438,4.291504,Roemer Visscherstraat 106,2533VG
Elementary School,37acb9c0db5b4a3d04eda5f6,Kleine Wereld Basisschool De,52.054759,4.305352,Van Ruysbroekstraat 1,2531TL
Elementary School,86b3c3d6c69b4b98354e32e5,De Haagse Scholen,52.050221,4.305904,Twickelstraat 5,2531PW
