"level","name","PC6","PC4","longitude","latitude","lid","category"
"BO","Erasmus","2542ED","2542",4.26518831865952,52.035994472786,"school_1","primary_school"
"GYM","Erasmus","2542ED","2542",4.26518831865952,52.035994472786,"school_2","highschool"
"BO","Petrus Donders","2542ED","2542",4.26426543772407,52.0355991544286,"school_3","primary_school"
"GYM","Petrus Donders","2542ED","2542",4.26426543772407,52.0355991544286,"school_4","highschool"
"GYM","Yunus Emre Islamitische Basisschool","2542JR","2542",4.26189066674373,52.0361427798416,"school_5","highschool"
"BO","Yunus Emre Islamitische Basisschool","2542JR","2542",4.26189066674373,52.0361427798416,"school_6","primary_school"
"BO","Prof. Mr. A. Anemaschool","2543BL","2543",4.2642631844631,52.0409205292396,"school_7","primary_school"
"GYM","Prof. Mr. A. Anemaschool","2543BH","2543",4.26370408154968,52.04054665362,"school_8","highschool"
"GYM","Ds. D.A. van den Boschschool voor Chr. B","2532CR","2532",4.30452776447365,52.0521920177389,"school_9","highschool"
"BO","Nutsschool Morgenstond","2545XT","2545",4.26942953739826,52.0494281714419,"school_10","primary_school"
"BO","Yunus Emre Islamitische Basisschool","2543VS","2543",4.25943351404058,52.0387979489529,"school_12","primary_school"
"GYM","Insp. W.P. Blokpoelschool (SO-ZMOK)","2543VS","2543",4.25943351404058,52.0387979489529,"school_13","highschool"
"BO","Anne Frank","2544RZ","2544",4.25133196818844,52.0404189713772,"school_14","primary_school"
"BO","De Ark Chr. Basisschool","2546SR","2546",4.27296134821419,52.0598257385863,"school_15","primary_school"
"BO","De Zuidwester","2544ME","2544",4.25781468699804,52.0451914824427,"school_16","primary_school"
"GYM","De Zuidwester","2544ME","2544",4.25781468699804,52.0451914824427,"school_17","highschool"
"GYM","Haagse Mytylschool De Piramide (SO/LG/LZ","2541GA","2541",4.26911980460033,52.0413982070792,"school_18","highschool"
"GYM","Tamarschool","2545NA","2545",4.27930895929304,52.0502316393882,"school_19","highschool"
"GYM","De Drentse Hoek","2545SL","2545",4.27182008100636,52.0465204801293,"school_20","highschool"
"GYM","De Springplank","2542XH","2542",4.26400105740498,52.0345179707549,"school_22","highschool"
"BO","P. Oosterleeschool voor Chr. Basisonderw","2533TG","2533",4.29281811534297,52.0498815398197,"school_23","primary_school"
"GYM","P. Oosterleeschool voor Chr. Basisonderw","2533TG","2533",4.29281811534297,52.0498815398197,"school_24","highschool"
"BO","De Kleine Wereld","2531VP","2531",4.30310986985038,52.05535201199,"school_25","primary_school"
"GYM","De Kleine Wereld","2531VP","2531",3.24535626162445,52.0408624977995,"school_26","highschool"
"GYM","School 2 Care","2531SX","2531",4.3079220486613,52.0571490146275,"school_27","highschool"
"GYM","Woonstede Nutsbasisschool","2543VR","2543",4.26045616363022,52.0392841480463,"school_29","highschool"
"VO","Zuid-West College","2542JR","2542",4.26004684569657,52.0370150402125,"school_30","highschool"
"BO","Tamarschool","2545NL","2545",4.29229520609771,52.0503980295288,"school_32","primary_school"
"BO","De Ark Chr. Basisschool","2546SP","2546",4.35413783859557,48.3959307119188,"school_33","primary_school"
"BO","Nutsschool Morgenstond","2545VC","2545",4.2699239932197,52.0494778074451,"school_34","primary_school"
"GYM","Nutsschool Morgenstond","2545VC","2545",4.2699239932197,52.0494778074451,"school_35","highschool"
"BO-Voorschool","Voorschool Pippeloentje","2533TG","2533",4.29281811534297,52.0498815398197,"school_36","daycare"
"BO-Voorschool","Voorschool De Zuidwestertjes","2544ME","2544",4.25781468699804,52.0451914824427,"school_37","daycare"
"BO","De Drentse Hoek","2545SL","2545",4.27182008100636,52.0465204801293,"school_38","primary_school"
"BO-Voorschool","Voorschool Zweeloostraat","2545VC","2545",4.2699239932197,52.0494778074451,"school_39","daycare"
