"PC6","PC4","longitude","latitude"
"2531HH","2531",80815.609,452005.324
"2543BG","2543",77734.395,451122.309
"2543BG","2543",77720.669,451137.601
"2543BG","2543",77585.09,451220.795
"2543BG","2543",77782.703,451068.486
"2543AP","2543",78029.446,451103.964
"2542EJ","2542",78037.532,450203.645
"2542EJ","2542",78045.259,450209.36
"2533CG","2533",79579.072,451491.578
"2545JN","2545",78210,451649.863
"2533AC","2533",78678.246,452528.409
"2545GH","2545",78668.786,451848.907
"2546BK","2546",78664.034,452648.464
"2545HB","2545",79094.246,451239.739
"2533JR","2533",80244.637,452117.101
"2541RN","2541",79168.126,451182.634
"2545HA","2545",79085.373,451265.044
"2544JN","2544",77395.334,451317.666
"2533AE","2533",78724.482,452586.674
"2533AD","2533",78708.343,452482.907
"2542JD","2542",77199.801,451015.508
"2544JP","2544",77418.699,451292.608
"2544JP","2544",77450.325,451258.714
"2545GH","2545",78676.809,451837.861
"2533AD","2533",78691.869,452469.742
"2533AD","2533",78703.472,452439.498
"2531XB","2531",80473.478,452410.74
"2545GM","2545",78896.331,451545.56
"2545JT","2545",78710.615,451894.279
"2545GV","2545",78737.381,451798.334
"2531VC","2531",80756.069,452448.048
"2531VC","2531",80738.669,452481.415
"2546VJ","2546",78500.554,452903.11
"2542EH","2542",78085.33,450238.998
"2542KD","2542",77978.713,450209.954
"2546EL","2546",78483.62,452894.815
"2545JG","2545",78596.288,451884.864
"2545GG","2545",78583.287,451936.019
"2545GK","2545",78792.283,451682.092
"2545GH","2545",78763.465,451758.351
"2545GH","2545",78772.784,451733.495
"2545GV","2545",78844.745,451685.436
"2545GH","2545",78821.542,451699.865
"2545GH","2545",78825.102,451702.537
"2545GV","2545",78849.402,451679.214
"2545GW","2545",78847.486,451707.814
"2541XP","2541",78794.406,452065.986
"2545GK","2545",78802.461,451668.541
"2541HR","2541",78849.837,451107.186
"2541HR","2541",78839.467,451136.853
"2541HR","2541",78858.899,451081.262
"2541HR","2541",78853.765,451095.949
"2545GK","2545",78786.671,451689.569
"2545GV","2545",78799.456,451745.957
"2542EE","2542",78109.046,450305.278
"2533HN","2533",79896.065,451600.543
"2533HN","2533",79910.246,451584.048
"2541GC","2541",78306.845,450843.466
"2533CG","2533",79614.408,451450.484
"2533CE","2533",79818.518,451137.175
"2545GM","2545",78890.834,451473.414
"2533AC","2533",78656.855,452510.211
"2545GG","2545",78663.356,451856.383
"2545GT","2545",78646.464,451930.239
"2546BH","2546",78661.504,452750.389
"2533HT","2533",79804.344,451748.569
"2533LK","2533",80213.77,452057.243
"2531HD","2531",80740.423,451923.909
"2544JP","2544",77456.488,451252.11
"2533JM","2533",80116.543,452063.29
"2542JG","2542",77219.776,450981.51
"2542JD","2542",77202.737,451018.415
"2545GS","2545",78632.593,451993.352
"2533JM","2533",80142.719,452083.104
"2533JR","2533",80227.753,452102.305
"2542JH","2542",77378.415,450821.356
"2542JJ","2542",77381.828,450817.541
"2542EG","2542",78130.368,450239.421
"2545GM","2545",78913.07,451510.267
"2545GZ","2545",78924.923,451600.431
"2545HB","2545",79102.695,451215.645
"2541RK","2541",79094.373,451206.315
"2541RP","2541",79147.155,451165.511
"2545GM","2545",78898.768,451537.801
"2545GM","2545",78904.002,451554.688
"2544GT","2544",77418.946,450879.028
"2545HH","2545",79052.696,451429.956
"2545GV","2545",78874.707,451645.256
"2545GX","2545",78884.352,451655.835
"2545GL","2545",78849.688,451607.224
"2545GV","2545",78835.944,451694.142
"2545GH","2545",78721.954,451777.127
"2545GL","2545",78831.767,451630.294
"2545GK","2545",78796.74,451676.159
"2545GK","2545",78827.333,451662.625
"2533GA","2533",79764.8,451811.53
"2545GH","2545",78729.05,451768.085
"2545JB","2545",78795.989,452050.672
"2545GV","2545",78808.744,451733.545
"2545GV","2545",78776.2,451823.603
"2544NL","2544",76292.985,450630.239
"2543BG","2543",77596.917,451231.406
"2533AD","2533",78727.372,452481.619
"2545GM","2545",78932.386,451535.162
"2533JS","2533",80174.329,452063.849
"2545GM","2545",78918.566,451501.77
"2543AP","2543",78008.919,451123.759
"2533HT","2533",79865.169,451687.46
"2544HT","2544",77879.657,451456.594
"2542NK","2542",77621.338,450009.558
"2542NK","2542",77626.689,450002.667
"2542JG","2542",77217.021,450984.267
"2533HT","2533",79786.532,451766.09
"2531HJ","2531",80800.119,452023.422
"2546BJ","2546",78665.683,452708.967
"2544LA","2544",76644.506,450801.159
"2533HV","2533",79886.056,451663.194
"2533HV","2533",79888.923,451659.862
"2533HW","2533",79933.112,451612.796
"2545GV","2545",78812.916,451727.969
"2545GH","2545",78781.226,451722.527
"2545GJ","2545",78750.273,451737.836
"2544JN","2544",77391.126,451322.201
"2544JP","2544",77425.127,451285.719
"2545GW","2545",78813.884,451752.69
"2542EH","2542",78077.913,450233.512
"2545GL","2545",78826.352,451637.278
"2545HH","2545",79069.953,451408.246
"2542EX","2542",78088.691,450263.953
"2545JN","2545",78225.722,451661.048
"2545GG","2545",78604.757,451905.294
"2544HT","2544",77887.531,451464.042
"2532RX","2532",79596.682,451289.503
"2543BG","2543",77739.79,451116.298
"2543BG","2543",77637.118,451222.74
"2533HT","2533",79817.249,451740.833
"2533HT","2533",79845.049,451710.771
"2533CE","2533",79841.714,451125.03
"2545AB","2545",77852.932,452506.479
"2533HM","2533",79816.457,451716.105
