"PC6","PC4","longitude","latitude"
"2545CA","2545",78145.828,452185.725
"2546SK","2546",78336.156,452637.89
"2541RX","2541",78813.519,450861.097
"2544GJ","2544",78124.786,451328.741
"2544NL","2544",76284.502,450604.735
"2544NL","2544",76268.119,450608.042
"2533VG","2533",79794.392,451974.193
"2544JL","2544",76356.163,450497.103
"2546XE","2546",78894.03,453033.183
"2544NL","2544",76374.228,450674.776
"2544GH","2544",77228.151,450814.561
"2533SR","2533",79654.735,452579.503
"2544GJ","2544",78082.833,451418.958
"2533VG","2533",79794.326,451973.645
"2543RT","2543",78190.773,451060.302
"2533SP","2533",79570.425,452199.407
"2545NZ","2545",79187.605,451750.707
"2542JR","2542",77552.289,450403.414
"2533SP","2533",79656.749,452190.805
"2546SK","2546",78366.593,452649.824
"2542KC","2542",77730.715,450521.948
"2544MZ","2544",77535.189,451271.126
"2533SR","2533",79909.409,452687.015
"2542KC","2542",77744.942,450504.907
"2533BW","2533",79608.182,451316.202
