"PC6","PC4","longitude","latitude","type","lid"
"2531HH","2531",4.30566416947017,52.0513873928149,"work","work_1"
"2543BG","2543",4.26095072545749,52.0430310167156,"work","work_2"
"2543BG","2543",4.26074722990165,52.043166527683,"work","work_3"
"2543BG","2543",4.25875249790138,52.043895247597,"work","work_4"
"2543BG","2543",4.26166690932494,52.0425540577099,"work","work_5"
"2543AP","2543",4.26525484027869,52.0429072026914,"work","work_6"
"2542EJ","2542",4.26557534769656,52.034817430177,"work","work_7"
"2542EJ","2542",4.26568665196206,52.0348698616766,"work","work_8"
"2533CG","2533",4.28775315375609,52.0466035926382,"work","work_9"
"2545JN","2545",4.26776352498459,52.0478380712764,"work","work_10"
"2533AC","2533",4.27439210204169,52.0557979783669,"work","work_11"
"2545GH","2545",4.27440600706324,52.0496901940518,"work","work_12"
"2546BK","2546",4.27415809215255,52.0568749184729,"work","work_13"
"2545HB","2545",4.28074278009897,52.0442742020637,"work","work_14"
"2533JR","2533",4.29731691061045,52.0523151828158,"work","work_15"
"2541RN","2541",4.28183218882516,52.043771126627,"work","work_16"
"2545HA","2545",4.28060784324878,52.0445003961191,"work","work_17"
"2544JN","2544",4.25596501039491,52.0447392618449,"work","work_18"
"2533AE","2533",4.27505311553136,52.0563279545812,"work","work_19"
"2533AD","2533",4.27484101505085,52.0553932101263,"work","work_20"
"2542JD","2542",4.25318404496137,52.0419964606952,"work","work_21"
"2544JP","2544",4.25631122470572,52.0445173445997,"work","work_22"
"2544JP","2544",4.25677983677603,52.0442171758989,"work","work_23"
"2545GH","2545",4.27452541674926,52.0495920318067,"work","work_24"
"2533AD","2533",4.27460380177662,52.0552726319265,"work","work_25"
"2533AD","2533",4.27477970186778,52.0550024358833,"work","work_26"
"2531XB","2531",4.30058863852174,52.0549848686414,"work","work_27"
"2545GM","2545",4.27779023922938,52.0469953927095,"work","work_28"
"2545JT","2545",4.27500557283534,52.0501036982132,"work","work_29"
"2545GV","2545",4.27541712822986,52.0492451522377,"work","work_30"
"2531VC","2531",4.30470007012642,52.0553580804155,"work","work_31"
"2531VC","2531",4.30443916161064,52.0556556104593,"work","work_32"
"2546VJ","2546",4.2717178094905,52.0591407969952,"work","work_33"
"2542EH","2542",4.26626386226059,52.0351417696711,"work","work_34"
"2542KD","2542",4.26471687361662,52.0348659598517,"work","work_35"
"2546EL","2546",4.27147278755174,52.059063914174,"work","work_36"
"2545JG","2545",4.27334124362694,52.0500033394122,"work","work_37"
"2545GG","2545",4.27314030084771,52.0504612617025,"work","work_38"
"2545GK","2545",4.27624328993183,52.0482080706942,"work","work_39"
"2545GH","2545",4.27580624256317,52.048889425144,"work","work_40"
"2545GH","2545",4.27594761758037,52.0486673332239,"work","work_41"
"2545GV","2545",4.27700720101597,52.0482453330952,"work","work_42"
"2545GH","2545",4.27666579052556,52.0483718137654,"work","work_43"
"2545GH","2545",4.27671708363656,52.048396315551,"work","work_44"
"2545GV","2545",4.27707646534455,52.0481900576191,"work","work_45"
"2545GW","2545",4.2770421655308,52.0484468143877,"work","work_46"
"2541XP","2541",4.27618861889985,52.0516583064915,"work","work_47"
"2545GK","2545",4.27639466015115,52.0480876910934,"work","work_48"
"2541HR","2541",4.27721025620029,52.043049463136,"work","work_49"
"2541HR","2541",4.27705251636312,52.0433146475487,"work","work_50"
"2541HR","2541",4.27734809806332,52.0428177361397,"work","work_51"
"2541HR","2541",4.27727000509499,52.0429490189247,"work","work_52"
"2545GK","2545",4.2761598251086,52.0482744926827,"work","work_53"
"2545GV","2545",4.27633359853932,52.0487829932604,"work","work_54"
"2542EE","2542",4.26659452799518,52.035740697885,"work","work_55"
"2533HN","2533",4.29234937055968,52.0476258767831,"work","work_56"
"2533HN","2533",4.29255968729041,52.0474795616663,"work","work_57"
"2541GC","2541",4.2693560052635,52.0406046320661,"work","work_58"
"2533CG","2533",4.28827723871505,52.0462390984197,"work","work_59"
"2533CE","2533",4.29132102654996,52.043451190001,"work","work_60"
"2545GM","2545",4.27772618691849,52.0463462821818,"work","work_61"
"2533AC","2533",4.2740843333447,52.0556314918316,"work","work_62"
"2545GG","2545",4.27432518978541,52.0497566307882,"work","work_63"
"2545GT","2545",4.2740624700587,52.0504180259299,"work","work_64"
"2546BH","2546",4.27409842993061,52.0577905387158,"work","work_65"
"2533HT","2533",4.29097993766863,52.0489437131922,"work","work_66"
"2533LK","2533",4.29688006911843,52.0517730889536,"work","work_67"
"2531HD","2531",4.30458590915018,52.0506456650451,"work","work_68"
"2544JP","2544",4.25687115487198,52.0441586901108,"work","work_69"
"2533JM","2533",4.29546149824502,52.0518143030322,"work","work_70"
"2542JG","2542",4.25348288249548,52.0416937351029,"work","work_71"
"2542JD","2542",4.25322617062981,52.0420229969677,"work","work_72"
"2545GS","2545",4.27384617875367,52.0509832925432,"work","work_73"
"2533JM","2533",4.29583871634036,52.0519959028915,"work","work_74"
"2533JR","2533",4.29707403315976,52.0521799369904,"work","work_75"
"2542JH","2542",4.25583112824535,52.0402767192147,"work","work_76"
"2542JJ","2542",4.25588173124063,52.0402429129201,"work","work_77"
"2542EG","2542",4.26692002211413,52.035151816847,"work","work_78"
"2545GM","2545",4.27804206825361,52.0466805225265,"work","work_79"
